"ID задачи","Проект","Теги","Заголовок","Заявитель","Создана","Обновлена","Завершенная","Исполнитель","Тип","Вид бага","Серьёзность","Компонент","Описание","Голоса"
"U4-576","Циопа Анна","Звезда","В личном кабинете в разделе ""My Profile"" в поле ""Country"" есть пустая строка и строка Select.","Anna Tsiopa","20 Aug 2022","25 Aug 2022",,"root","Bug","Functional","Normal","PhpTravels","1. Открыть главную страницу и авторизоваться (логин: nubopoxi@mailinator.com пароль:12345)

2. Нажать на кнопку Account, выбрать раздел My Profile.

3. Раскрыть селектор Country.

   **Результат:** в селекторе есть пустая строка и строка Select.

   ![](3.png){width=70%}

   **Ожидаемый результат:** Есть либо пустая строка, либо строка Select. Если нужно оставить поле не заполеннным, то выбрать пустую строку или строку ""не выбрано""/'Select"" (как пример).","0"
"U4-608","Циопа Анна","Звезда","В разделе Flights фильтр по авиалиниям частично не работает при выборе по одной четырех из пяти авиалинии.","Anna Tsiopa","22 Aug 2022","25 Aug 2022",,"root","Bug","Functional","Major","PhpTravels","1. Открыть главную страницу сайта и перейти в раздел Flights
2. Ввести в поле Flying From значение ""Istanbul"", в поле To Destination - ""Dubai Intl"", выбрать любую дату, в селекторе Passengers выбрать 1Adults.
3. Нажать на кнопку Seach.
4. Выбрать в фильтре Airlines каждое значение по очереди.

   **Результат:** рейсы не найдены. 

   ![](1KQXI9uWcj.gif){width=70%}

   **Ожидаемый результат:** рейсы отфильтрованы по авиакомпании. ","0"
"U4-617","Циопа Анна","Звезда","В разделе Эл.письма не отправляются электронные письма, ошибка 505","Anna Tsiopa","23 Aug 2022","25 Aug 2022",,"root","Bug","Functional","Blocker","EspoCRM","1. Открыть программу

2. Перейти в раздел Эл.письма

3. Нажать на кноку ""Новое сообщение"" и произвольно заполнить поля

4. Нажать на кнопку Отправить

   **Результат:** ошибка сервера 500, письмо не отправлено.

   ![](Screenshot_1.png){width=70%}

   **Ожидаемый результат:** письмо отправлено получателю.","0"
"U4-618","Циопа Анна","Звезда","В разделе Документы можно создать папки с одинаковым именем.","Anna Tsiopa","23 Aug 2022","25 Aug 2022",,"root","Bug","Functional","Major","EspoCRM","1. Открыть программу 

2. Перейти в раздел документы

3. Нажать на кнопку ""Управление папками"" рядом с кнопкой Документы

4. Нажать на значок + и добавить папку с названием ""test1""

5. Повторить действия, добавив вторую папку с названием ""test1""

   **Результат:** программа позволяет создать две одинаковых папки.

   ![](NGpoSmSva4.gif){width=70%}

   **Ожидаемый результат:** имя папки должно быть уникально.","0"
"U4-619","Циопа Анна","Звезда","В разделе Документы в документах не обновляется папка после удаления папки. ","Anna Tsiopa","23 Aug 2022","25 Aug 2022",,"root","Bug","Functional","Major","EspoCRM","1. Открыть программу 

2. Перейти в раздел Документы

3. Создать папку в меню Управление папками  с названием Test2

4. Добавить любой документ, нажав на кнопку Создать документ

5. Выбрать в поле Папка Test2

6. Удалить папку Test2 в меню Управление папками

7. Вернутся назад в документы 

8. Открыть ранее созданный файл

   **Результат:** в поле папка указано Test2

   ![](SVQlaOkpIK.gif){width=70%}

   **Ожидаемый результат: поле папка обновилось, значение пустое. Либо при удалении папки программа выдаёт предупреждение о наличии документов в папке.**","0"
"U4-620","Циопа Анна","Звезда","В разделе Звонки можно выбрать прошедшее время звонка.","Anna Tsiopa","23 Aug 2022","25 Aug 2022",,"root","Bug","Functional","Major","EspoCRM","1. Открыть программу

2. Перейти в раздел звонки

3. Нажать на кнопку ""Создать звонок""

4. Выбрать вчерашний день в календаре

5. Выбрать статус Запланирован

   **Результат:** звонок успешно создан.

   ![](zM46flBHG3.gif){width=70%}

   **Ожидаемый результат:** нельзя создать звонок с датой и временем ранее текущего","0"
"U4-622","Циопа Анна","Звезда","В верхней панели у кнопок нет тултипов","Anna Tsiopa","23 Aug 2022","25 Aug 2022",,"root","Bug","Usability","Major","EspoCRM","1. Открыть программу
2. Навести курсор на кнопки ""Меню"", ""Оповещения"", ""Добавить"", ""Поиск""

   **Результат:** тултип есть только у кнопки ""Меню"".

   ![](ljUWtHCiuE.gif){width=70%}

   **Ожидаемый результат:** тултипы есть у всех кнопок. ","0"
"U4-616","Циопа Анна","Звезда","В разделе Лента не срабатывает отображение текста как удалённого при оставлении заметки","Anna Tsiopa","23 Aug 2022","25 Aug 2022",,"root","Bug","Functional","Major","EspoCRM","1. Открыть программу
2. Перейти в раздел Кандидаты
3. Добавить в поле ввода в разделе Лента текст ""\~удаленный текст"" и нажать на кнопку Разместить

   **Результат:** отображение текста удалённым не срабатывает.

   ![](Screenshot_4.png){width=70%}

   **Ожидаемый результат:** текст отображается как перечёркнутый ""~~удаленный текст~~""","0"
"U4-614","Циопа Анна","Звезда"," В разделе Пользователи можно добавить русские буквы и символы в поле Имя пользователя.","Anna Tsiopa","23 Aug 2022","25 Aug 2022",,"root","Bug","Functional","Major","EspoCRM","1. Открыть программу, в левом меню выбрать **... -\>** Пункт пользователи

2. Нажать на кнопку Создать пользователя

3. Ввести в поле ""Имя пользователя"" текст на киррилице, добавить символы $%&

   **Результат:** программа позволяет внести символы, но не сохраняет их.

   ![](Screenshot_3.png){width=70%}

   **Ожидаемый результат:** программа блокирует ввод невалидных значений.","0"
"U4-607","Циопа Анна","Звезда","В форме регистрации можно ввести невалидные значения в поле почты и телефона ","Anna Tsiopa","22 Aug 2022","24 Aug 2022",,"root","Bug","Functional","Major","PhpTravels","1. Открыть главную страницу
2. Выбрать в селекторе Account строку Customer Signup
3. Ввести в поле Email значение ""набор букв"", в поле Phone - ""набор цифр""
4. Заполнить поля Fist Name, Last Name произвольно
5. Нажать на кнопку ""Signup""

   **Результат:** сайт принимает значения и позволяет зарегистироваться.

   ![](V438XVtCJd.gif){width=70%}

   **Ожидаемый результат:** сайт принимает только числовые значения в поле Phone и валидные почты в поле Email.","0"
"U4-609","Циопа Анна","Звезда","В формах бронирования не меняется тип курсора на ""курсор-рука"" при наведении на селекторы в разделе ""Travellers Information""","Anna Tsiopa","22 Aug 2022","24 Aug 2022",,"root","Bug","Usability","Normal","PhpTravels","1. Открыть главную страницу сайта и перейти в раздел Flight 
2. Выбрать Turkish Airlines рейс Istanbul-Dubai в разделе Top Flight Destinations
3. Нажать на кнопку Book now на любом из рейсов
4. Навести курсор на селекторы Title, Date of Birth, Nationality, Passport Issuance Date, Passport Expiry Date в разделе Travellers Information

   **Результат:** при наведении курсор не меняется.

   ![](oFCb2CeGSq.gif){width=70%}

   **Ожидаемый результат:** курсор меняется на курсор-руку.","0"
"U4-610","Циопа Анна","","Подразделы нижнего меню ""Company"", ""Support"" и ""Servisec"" при открытии части из них оказываются пустыми и не локализованными после смены языка.","Anna Tsiopa","22 Aug 2022","24 Aug 2022","24 Aug 2022","root","Bug","Functional","Critical","PhpTravels","1. Открыть главную страницу сайта
2. Выбрать язык German в селекторе выбора языка
3. Проскроллить до подвала сайта
4. Навести курсор и открыть поочередно каждый из подразделов:

   ""Company"" (About Us, Terms Of Use, Cookies Policy, Privacy Policy);

   ""Support"" (Become Supplier, FAQ, Booking Tips, How To Book);

   ""Serviсes"" (File A Claim, Careers).

   **Результат:** каждый открытый подраздел не локализован и ведёт на страницу с надписью ""Data Not Found!""

   ![](mMd3B231QI.gif){width=70%}

   **Ожидаемый результат:** каждый открытый подраздел локализован и ведёт на страницу с соответствующеё инфомацией.","0"
"U4-612","Циопа Анна","Звезда","В разделе Контакты можно добавить буквы в номер телефона при создании контакта.","Anna Tsiopa","22 Aug 2022","24 Aug 2022",,"root","Bug","Functional","Major","EspoCRM","1. Открыть программу
2. Перейти в раздел Контакты в левой панели программы
3. Нажать на кнопку Создать контакт
4. Заполнить поле Телефон буквенными и символьными значениями, заполнить обязательные поля произвольно.
5. Нажать на кнопку Сохранить.

   **Результат:** номер с буквами и символами сохранён.

   ![](8mWUJKeKot.gif){width=70%}

   **Ожидаемый результат:** программа позволяет сохранить только числовой формат номера телефона.","0"
"U4-613","Циопа Анна","Звезда","В селекторе ""Имя"" два раза повторяется строка ""Г-жа"" и есть пустая строка при создании или редактировании контакта.","Anna Tsiopa","22 Aug 2022","24 Aug 2022",,"root","Bug","Functional","Major","EspoCRM","1. Открыть программу
2. Перейти в раздел Контакты в левом меню сайта
3. Добавить новый контакт через кнопку ""Создать""
4. Раскрыть селектор ""Имя"" 

   **Результат:** два раза повторяется строка ""Г-жа"", есть пустая строка.

   ![](Screenshot_2.png){width=70%}

   **Ожидаемый результат:** строки не дублируются, пустых строк нет. ","0"
"U4-522","Циопа Анна","Звезда","Разделы нижнего меню ""Company"", ""Support"" и ""Servisec"" при открытии каждого из них оказываются пустыми.","Anna Tsiopa","16 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Critical","PhpTravels","1. Открыть сайт

2. Проскроллить до подвала сайта

3. Навести курсор и открыть поочередно каждый из разделов ""Company"", ""Support"" и ""Servisec""

   **Результат:** каждый открытый раздел ведёт на страницу с надписью ""Data Not Found!""

   ![](Screenshot_1в.png){width=308px}![](Screenshot_1б.png){width=308px}![](Screenshot_1.png){width=305px}

   **Ожидаемый результат:** каждый открытый раздел ведёт на страницу с соответствующеё инфомацией.","0"
"U4-584","Циопа Анна","Звезда","У программы нет файла для удаления.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Usability","Critical","ListBoxer","1. Установить программму.
2.  Перейти в папку с установленной программой.

   **Результат:** нет файла для удаления программы. Удалить можно только через панель управления или вручную. 

   **Ожидаемый результат:** есть файл деинсталляции. ","0"
"U4-600","Циопа Анна","Звезда","В разделе Blog в панели ""New Blog"" смещены элементы.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","UI","Major","PhpTravels","1. Открыть главную страницу

2. Перейти в раздел Blog в верхнем меню.

   **Результат:** открывается страница в правой части которой элементы смещены, из-за этого названия блогов нечитаемы.

   ![](5.png){width=70%}

   **Ожидаемый результат:** элементы не накладываются друг на друга, все надписи читабельны.","0"
"U4-598","Циопа Анна","Звезда","В личном кабинете в разделе ""My Profile"" возможно выбрать город и регион, которого нет в стране. ","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Major","PhpTravels","1. Открыть главную страницу и авторизоваться (логин: [nubopoxi@mailinator.com](mailto:nubopoxi@mailinator.com) пароль:12345)

2. Нажать на кнопку Account, выбрать раздел My Profile.

3. Выбрать в селекторе Country ""Cuba"", ввести в поле State ""Ивановская"", City - ""Ленинград""

   **Результат:** система принимает адрес и позволяет сохранить данные.

   ![](3.png){width=70%}

   **Ожидаемый результат:** система выдаёт сообщение об ошибке - город, регион и страна не соответствуют. Добавить адрес не получится.","0"
"U4-582","Циопа Анна","Звезда","В окне установки программы кнопка ""Install"" расположена отдельно от других вариантов.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Usability","Major","ListBoxer","1. Открыть установочный файл программы
2. Нажать кнонку ""ОК"" в первом диалоговом окне.

   **Результат:** открывается следующее окно установки, в котором кнопка ""Install"" находится отдельно от кнопки ""Exit setup"". 

   ![](1.png){width=70%}

   **Ожидаемый результат:** кнопки продолжения или выхода из установки в одном стиле и расположены рядом. ","0"
"U4-580","Циопа Анна","Звезда","В разделе Flights в поиске билета фильтр Price Range отображает цены в рублях, которые не соответсвуют ценам на билеты.","Anna Tsiopa","20 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Major","PhpTravels","1. Открыть главную страницу

2. Выбрать RUB в селекторе выбора валюты

3. Перейти на страницу Flights в верхнем меню

4. Выбрать Turkish Airlines рейс Istanbul-Dubai в разделе Top Flight Destinations

   **Результат:** в фильтре Price Range значения начинаются от 1 млн и заканчиваются 12 млн, тогда как билеты стоят от 15 тыс до 172 тыс.

   ![](1.png){width=70%}

   **Ожидаемый результат:** в фильтре Price Range значения совпадают с границами стоимости билетов.","0"
"U4-579","Циопа Анна","Звезда","В форме бронирования отеля в предварительном итоге смещение элемента Room Type ","Anna Tsiopa","20 Aug 2022","22 Aug 2022",,"root","Bug","UI","Normal","PhpTravels","1. Открыть главную страницу

2. Открыть раздел Holets и выбрать отель Rendezvous Hotels

3. На странице отеля выбрать Junior Suites и нажать на кнопку Book Now.

   **Результат:** в разделе с предварительными итогами элемент Room Type перекрыт.

   **Ожидаемый результат**: в разделе с предварительными итогами элемент Room Type отображается полностью.","0"
"U4-578","Циопа Анна","Звезда","Страница отеля открывается со смещёнными элементами после входа в аккаунт.","Anna Tsiopa","20 Aug 2022","22 Aug 2022",,"root","Bug","UI","Major","PhpTravels","1. Открыть главную страницу и авторизоваться (логин: nubopoxi@mailinator.com, пароль: 12345)

2. Перейти в раздел Hotels и нажать на страницу Rendezvous Hotels.

   **Результат:** открывается страница со смещенными разделами.

   ![](2.png){width=70%}![](Screenshot_1.png){width=70%}

   **Ожидаемый результат:** открывается со страница с элементами без смещения и наложения.

   ![](1.png){width=70%}","0"
"U4-581","Циопа Анна","Звезда","В форме бронирования билетов в разделах ""Date of Birth"" и ""Passport Expiry Date"" в селекторах ""Day"" нет числа 31. ","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Blocker","PhpTravels","1. Открыть сайт
2. Перейти на страницу Flights в верхнем меню
3. Выбрать Turkish Airlines рейс Istanbul-Dubai в разделе Top Flight Destinations
4. Выбрать любой рейс

   **Результат:** открывается форма бронирования, в которой нельзя выбрать число 31 в дате рождения и сроке выдачи паспорта.
   ![](1.png){width=70%}

   ![](2.png){width=70%}

   **Ожидаемый результат:** открывается форма бронирования, в которой можно выбрать 31 в дате рождения и сроке выдачи паспорта.","0"
"U4-583","Циопа Анна","Звезда","Программа не реагирует при попытке повторной установки в другую директорию.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Normal","ListBoxer","1. Установить программу.

2. Не удалять программу, запустить установку повторно.

3. Выбрать новую директорию на этапе выбора директории и нажать на кнопку продолжения установки.

   **Результат:** программа не реагирует и позволяет установить вторую версию программы.

   ![](2.png){width=70%}

   **Ожидаемый результат:** программа выдаёт предупреждение о том, что ПО уже установлено на этом компьютере.","0"
"U4-585","Циопа Анна","Звезда","В папке остаются файлы программы после удаления через панель управления. ","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Major","ListBoxer","1. Установить программу
2. Удалить программу через панель управления ""Удаление программ""

   **Результат:** файлы в папке программы сохранились.

   ![](MMyapNFh6r.gif){width=70%}

   **Ожидаемый результат**: после удаления файлов программы не осталось. ","0"
"U4-586","Циопа Анна","Звезда","В процессе установки и удаления программы есть кнопки на русском языке. ","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Localisation","Major","ListBoxer","1. Запустить установочный файл
2. Нажать на кнопку ""Exit setup"" на этапе выбора продолжения установки.

   **Результат**: кнопки ""Да"" и ""Нет"" вместо ""Yes/Ok"" и  ""No""

   ![](3.png){width=70%}

   **Ожидамаемый результат:** кнопки ""Yes/Ok"" и  ""No""","0"
"U4-588","Циопа Анна","Звезда","Файловые ассоциации сохраняются после полного удаления программы.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Normal","ListBoxer","1. Установить программу.
2. Создать любой файл и сохранить на компьютер.
3. Удалить программу через панель управления и вручную из папки установки.

   **Результат:** у созданных файлов после удаления сохраняются файловые ассоциации.

   **Ожидаемый результат:** файловые ассоциации не сохранены. ","0"
"U4-589","Циопа Анна","Звезда"," В селекторе Rage нет фильтра для циферно-буквенных значений, начинающихся с цифры. ","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Major","ListBoxer","1. Открыть программу, выбрать смешанный режим в чекбоксе Symbols.
2. В поле ввода ввести значение ""1a"".

   **Результат:** в селекторе Rage нет фильтров для значения 1а. Такие значения можно увидеть только в варианте ""All"".

   **Ожидаемый результат:** в селекторе Rage есть фильтры для всех вариантов значений. 

   
","0"
"U4-590","Циопа Анна","Звезда","По клику на надписи “Descending” контекстная справка не срабатывает.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Critical","ListBoxer","1. Открыть программу
2. Нажать на кнопку контекстной справки в верхней части программы.
3. Навести курсор на надпись ""Descending”

   **Результат:** кнопка не срабатывает, окно справки не открывается.

   ![](ipUWfdAEKr.gif){width=70%}

   **Ожидаемый результат:** по клику на надписи “Descending” появляется подсказка “Порядок сортировки записей в списке по убыванию”.","0"
"U4-592","Циопа Анна","Звезда","Программа позволяет вводить числа больше 9999 в смешанном режиме.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Major","ListBoxer","1. Открыть программу
2. Включить смешанный режим в чекбоксе Symbols.
3. Ввести в поле ввода значение ""a9999999"" и нажать на кнопку ""Add to list""

   **Результат:** программа принимает значение и позволяет его добавить в список.

   ![](7.png){width=70%}

   **Ожидаемый результат:** программа блокирует ввод чисел выше диапазона 9999.","0"
"U4-594","Циопа Анна","Звезда","Программа позволяет открыть файлы другого формата.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Normal","ListBoxer","1\. Открыть программу.

2\. Скачать файл [1.txt](1.txt)

3\. Нажать в верхнем меню кнопку ""File"", затем ""Open"" и выбрать скачанный файл.

**Результат:** файл открывается, информация из него добавлена в список. 

**Ожидаемый результат:** программа выдаёт окно с ошибкой при попытке открытия файла.


","0"
"U4-596","Циопа Анна","Звезда","Функция сохранения не запрашивает подтверждения замены файла при сохранении файлов с одинаковым именем.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Critical","ListBoxer","1. Открыть программу
2. Ввести в поле ввода значения ""123, 543, abc"", добавить их в список.
3. Сохранить файл через кнопку Save as под именем test
4. Ввести в поле ввода значения ""888, 999, qas"", добавить их в список. 
5. Сохранить файл через кнопку Save as под именем test

   **Результат:** программа сохраняет файл с заменой уже существующего файла  с тем же именем без предупреждения.

   **Ожидаемый резултат:** программа оповещает о существовании файла с тем же именем и предлагает замену. ","0"
"U4-597","Циопа Анна","Звезда","В личном кабинете в разделе ""My Profile"" числовые поля ""Phone"" и ""Fax"" позволяют ввести буквы и символы. ","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Major","PhpTravels","1. Открыть сайт и авторизоваться (логин: nubopoxi@mailinator.com пароль:12345)

2. Нажать на кнопку Account, выбрать раздел My Profile.

3. Ввести в поля Phone и Fax любой текст.

   **Результат:** система позволяет внести в числовое поле символы и буквы.

   ![](1.png){width=70%}

   ![](2.png){width=70%}

   **Ожидаемый результат:** в числовое поле можно внести только числа.","0"
"U4-602","Циопа Анна","Звезда","На странице блога ""Mordi e Vai in the Testaccio Market"" не прогружается изображение.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","UI","Major","PhpTravels","1. Открыть страницу сайта <https://www.phptravels.net/blog/mordi-e-vai-in-the-testaccio-market/21>

   **Результат:** изображение недоступно.

   ![](1.png){width=70%}

   **Ожидаемый результат:** изображение загружено.","0"
"U4-604","Циопа Анна","Звезда","В разделе ""Holets"", ""Tours"", ""Cars"" в селекторе ""City name"" не работает поиск городов, которые состоят из нескольких слов.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Critical","PhpTravels","1. Открыть сайт, перейти в раздел Hotels
2. Ввести в селектор City Name ""San Juan""

   **Результат:** город не найден.

   ![](rt1INpeOGe1.gif){width=70%}

   **Ожидаемый результат:** город найден в списке. ","0"
"U4-605","Циопа Анна","Звезда","В личном кабинете в разделе ""Add Funds"" валюта пополнения осталась прежней после смены валюты.","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Major","PhpTravels","1. Открыть сайт и авторизоваться (логин: [nubopoxi@mailinator.com](mailto:nubopoxi@mailinator.com) пароль:12345)
2. Нажать на кнопку Account, выбрать раздел ""Add Funds"".
3. Изменить валюту на любую другую в  верхней панели сайта в селекторе выбора валюты.

   **Результат:** в поле ""Amount in"" валюта осталась прежней. 

   ![](1.png){width=70%}

   **Ожидаемый результат:** валюта сменилась на выбранную. ","0"
"U4-606","Циопа Анна","Звезда","В личном кабинете в разделе ""Add Funds"" кнопка ""Pay now"" ведёт на пустую страницу ""https://www.phptravels.net/payment/bank-transfer"". ","Anna Tsiopa","21 Aug 2022","22 Aug 2022",,"root","Bug","Functional","Blocker","PhpTravels","1. Открыть сайт и авторизоваться (логин: [nubopoxi@mailinator.com](mailto:nubopoxi@mailinator.com) пароль:12345)
2. Нажать на кнопку Account, выбрать раздел Add Funds.
3. Выбрать радиокнопку Pay With Bank Transfer и нажать Pay Now.

   **Результат:** открывается страница с ошибкой ""404 Error. Page not Found"". Для других способов оплаты также актуально.

   ![](1.png){width=70%}

   **Ожидаемый результат:** открывается страница с формой оплаты.","0"
"U4-541","Циопа Анна","Звезда","В поле ввода можно внести символ $ в алфавитном и смешанном режимах.","Anna Tsiopa","19 Aug 2022","21 Aug 2022",,"root","Bug","Functional","Major","ListBoxer","1. Открыть программу ListBoxer
2. Ввести в поле ввода символ $
3. Нажать на кнопку ""Add to list""
   **Результат:** программа позволяет сохранить информацию в список.![](1.png){width=503px}
   **Ожидаемый результат:** программа выдаёт сообщение об ошибке и не позволяет ввести символ изначально.","0"
"U4-572","Циопа Анна","Звезда","В разделе ""Support"" опечатка в слове Support. ","Anna Tsiopa","20 Aug 2022","20 Aug 2022",,"root","Bug","UI","Normal","PhpTravels","1. Открыть сайт
2. Перейти в подвал сайта
3. Нажать на раздел Support

   **Результат:** открывается страница с названием Supprt.
   ![](1.png){width=70%}

   **Ожидаемый результат:** открывается страница с названием Support.","0"
